day,S,E,I,R
0,5101556,0,0,0
0.1,5101556.0,0.0,0.0,0.0
0.2,5101556.0,0.0,0.0,0.0
0.30000000000000004,5101556.0,0.0,0.0,0.0
0.4,5105437.999930668,3.5580244404790045e-06,6.39242621388031e-05,1.8499743055516543e-06
0.5,5105437.999929754,4.391703119472788e-06,6.354853872427233e-05,2.305222785916183e-06
0.6,5105437.999928846,5.203559695989093e-06,6.319188522582065e-05,2.7578559753286136e-06
0.7,5105437.999927944,5.994295997777479e-06,6.285373805295965e-05,3.208008063900306e-06
0.7999999999999999,5101555.999984839,1.428027190419105e-05,8.698393994554547e-07,1.085508258077625e-08
0.8999999999999999,5101555.999984825,1.4011771308348562e-05,1.1455421555923814e-06,1.8057242875258572e-08
0.9999999999999999,5101555.999984806,1.3752435351285051e-05,1.41402364830729e-06,2.7202778526709708e-08
1.0999999999999999,5101555.999984784,1.3501982073984416e-05,1.6755150862484957e-06,3.8240939167346885e-08
1.2,5101555.999984758,1.3260138319575054e-05,1.930240501644785e-06,5.112260015435161e-08
1.3,5101555.999984728,1.3026639459129754e-05,2.1784169740486753e-06,6.58002121130292e-08
1.4000000000000001,5105437.9999064505,2.3781664934793944e-05,6.338060980052796e-05,6.382289156600527e-06
1.5000000000000002,5105437.999905544,2.4207199389435508e-05,6.340770217975791e-05,6.835099605577021e-06
1.6000000000000003,5105437.999904639,2.462469088665499e-05,6.3443001591924e-05,7.288133013028258e-06
1.7000000000000004,5105437.999903732,2.5034414766351186e-05,6.348629209421184e-05,7.741447225197579e-06
1.8000000000000005,5101555.999970073,2.558991075338104e-05,4.1566594853242e-06,1.7489864217130512e-07
1.9000000000000006,5101555.9999700105,2.5145378984490204e-05,4.632588742658937e-06,2.0629613061557736e-07
2.0000000000000004,5101555.999969941,2.4716294724366686e-05,5.0964265669036936e-06,2.4104969473722276e-07
2.1000000000000005,5101555.999969864,2.4302183848663292e-05,5.5485621121620614e-06,2.7907436429264504e-07
2.2000000000000006,5101555.999969781,2.3902587039350594e-05,5.9893724625573655e-06,3.202879053757408e-07
2.3000000000000007,5101555.999969693,2.3517059323501195e-05,6.419223008585461e-06,3.646107355549633e-07
2.400000000000001,5105437.999882762,3.991776460373931e-05,6.630426099041214e-05,1.100544371638039e-05
2.500000000000001,5105437.999881815,4.006513442932673e-05,6.662933243196493e-05,1.1480206177652813e-05
2.600000000000001,5105437.999880863,4.021418388385955e-05,6.695504391485364e-05,1.1957292846380066e-05
2.700000000000001,5105437.999879906,4.036488876107612e-05,6.72814241142424e-05,1.2436708397107378e-05
2.800000000000001,5101555.999955077,3.504884716986027e-05,9.222521303309492e-06,6.403046407579395e-07
2.9000000000000012,5101555.999954941,3.4489743981809307e-05,9.849749066284005e-06,7.0842921568269e-07
3.0000000000000013,5101555.999954795,3.395047324419261e-05,1.0461569248421816e-05,7.809786602050889e-07
3.1000000000000014,5101555.999954642,3.343042788416951e-05,1.105848065922593e-05,8.57844710987466e-07
3.2000000000000015,5101555.99995448,3.2929019794550394e-05,1.1640966649973833e-05,9.389226121176934e-07
3.3000000000000016,5101555.999954309,3.244567924305196e-05,1.2209495595777068e-05,1.0241110064240143e-06
3.4000000000000017,5105437.99985884,5.337493389645086e-05,7.183638095061081e-05,1.5934616394337505e-05
3.5000000000000018,5105437.999857815,5.3334079141494574e-05,7.238837845932581e-05,1.644970765413049e-05
3.600000000000002,5105437.99985678,5.330184070987894e-05,7.293571923760736e-05,1.696872499971176e-05
3.700000000000002,5105437.999855738,5.327798212308479e-05,7.347860577476202e-05,1.7491635895573457e-05
3.800000000000002,5101555.999939383,4.342866304783984e-05,1.5657073857038333e-05,1.5183394266790909e-06
3.900000000000002,5101555.999939154,4.2795494908131376e-05,1.6404759261204514e-05,1.6328566911395372e-06
4.000000000000002,5101555.999938915,4.2185313106807066e-05,1.7134735340455636e-05,1.7526509690692148e-06
4.100000000000001,5101555.999938665,4.159741612282016e-05,1.7847579192529858e-05,1.8775978371595293e-06
4.200000000000001,5101555.999938405,4.1031124361079825e-05,1.8543850047184885e-05,2.00757693007735e-06
4.300000000000001,5101555.999938135,4.048577946954185e-05,1.922408982347961e-05,2.1424718148373694e-06
4.4,5105437.999834111,6.514491073420639e-05,7.940023044274752e-05,2.133427360840119e-05
4.5,5105437.999832976,6.497797643348338e-05,8.01316917872698e-05,2.1904035570889908e-05
4.6,5105437.999831831,6.482469329982808e-05,8.085475687347071e-05,2.2478992072410578e-05
4.699999999999999,5105437.999830675,6.468467226698357e-05,8.156975361717933e-05,2.3059084316843594e-05
4.799999999999999,5101555.999922626,5.126158349487891e-05,2.3204940393841336e-05,2.8968586681075865e-06
4.899999999999999,5101555.999922289,5.0580793698601885e-05,2.4054525715524584e-05,3.0656541935189376e-06
4.999999999999998,5101555.999921939,4.9925362684189024e-05,2.488475119539932e-05,3.240448658986149e-06
5.099999999999998,5101555.999921578,4.9294519024467366e-05,2.5696252257311352e-05,3.4211060611820655e-06
5.1999999999999975,5101555.999921205,4.868751541466589e-05,2.6489644670881877e-05,3.607494864956863e-06
5.299999999999997,5101555.999920822,4.8103627921147455e-05,2.7265525164589364e-05,3.7994878651518545e-06
5.399999999999997,5101555.999920427,4.754215525355183e-05,2.802447201975088e-05,3.996962052723886e-06
5.4999999999999964,5101555.999920021,4.7002418059620506e-05,2.8767045645997982e-05,4.1997984850460095e-06
5.599999999999996,5101555.9999196045,4.6483758241996414e-05,2.9493789138823854e-05,4.4078821602543295e-06
5.699999999999996,5101555.999919178,4.5985538296313835e-05,3.0205228819760336e-05,4.62110189551497e-06
5.799999999999995,5101555.999918741,4.550714066991515e-05,3.090187475972614e-05,4.839350209089024e-06
5.899999999999995,5101555.999918295,4.50479671405517e-05,3.158422128607061e-05,5.06252320607717e-06
5.999999999999995,5101555.999917839,4.460743821444603e-05,3.225274747382111e-05,5.290520467729314e-06
6.099999999999994,5101555.999917373,4.418499254311222e-05,3.290791762162628e-05,5.5232449442082e-06
6.199999999999994,5101555.999916898,4.3780086358349926e-05,3.355018171287204e-05,5.760602850699373e-06
6.299999999999994,5101555.999916415,4.339219292484564e-05,3.417997586243231e-05,6.002503566763264e-06
6.399999999999993,5101555.999915922,4.302080200983276e-05,3.479772274950221e-05,6.248859538828371e-06
6.499999999999993,5101555.999915421,4.266541936927873e-05,3.540383203694728e-05,6.499586185727705e-06
6.5999999999999925,5101555.999914911,4.2325566250084466e-05,3.5998700777589044e-05,6.754601807183682e-06
6.699999999999992,5101555.999914392,4.200077890779695e-05,3.658271380783381e-05,7.013827495149606e-06
6.799999999999992,5101555.999913865,4.169060813935177e-05,3.715624412903929e-05,7.2771870479187805e-06
6.8999999999999915,5101555.99991333,4.139461883037717e-05,3.771965327700105e-05,7.544606886914992e-06
6.999999999999991,5101555.999912787,4.1112389516605936e-05,3.8273291679928905e-05,7.81601597608087e-06
7.099999999999991,5101555.999912237,4.084351195895554e-05,3.881749900527218e-05,8.091345743783193e-06
7.19999999999999,5101555.999911678,4.058759073185058e-05,3.935260449574101e-05,8.370530007156708e-06
7.29999999999999,5101555.999911112,4.0344242824375006e-05,3.987892729486059e-05,8.653504898810539e-06
7.39999999999999,5105437.99978044,7.3824431938721e-05,0.0001045550397259982,4.116983981960989e-05
7.499999999999989,5105437.999778946,7.38414163146152e-05,0.00010528227689695472,4.1919261697351875e-05
7.599999999999989,5105437.999777442,7.386835027789482e-05,0.0001060047760916877,4.26738610663733e-05
7.699999999999989,5105437.999775927,7.390496980051914e-05,0.00010672276667228165,4.343360490725572e-05
7.799999999999988,5101555.999893148,5.345701807536522e-05,4.324810865003266e-05,1.0133843509866384e-05
7.899999999999988,5101555.999892525,5.30155512137408e-05,4.40011886029079e-05,1.0445456601130306e-05
7.999999999999988,5101555.999891891,5.259337774088496e-05,4.474030414756801e-05,1.0762398672947961e-05
8.099999999999987,5101555.999891247,5.2189921522234305e-05,4.546593338921424e-05,1.1084571695957235e-05
8.199999999999987,5101555.999890592,5.180462448880388e-05,4.6178539729717094e-05,1.141188100304366e-05
8.299999999999986,5101555.999889927,5.143694607477789e-05,4.6878572326649805e-05,1.1744235185964687e-05
8.399999999999986,5105437.999749837,8.713540539576352e-05,0.00011403989872265409,4.8974793486692065e-05
8.499999999999986,5105437.999748208,8.702296683181088e-05,0.0001149636037791021,4.979266840444022e-05
8.599999999999985,5105437.999746566,8.692581940456784e-05,0.00011587864674700554,5.061711006054296e-05
8.699999999999985,5105437.99974491,8.68435378143521e-05,0.00011678538975406932,5.144805788285536e-05
8.799999999999985,5101555.999870929,6.447516272822545e-05,5.109253288253218e-05,1.3489740185584465e-05
8.899999999999984,5101555.999870192,6.392763015445748e-05,5.200829310470286e-05,1.3857967834005862e-05
8.999999999999984,5101555.999869443,6.340376909663649e-05,5.290686119998724e-05,1.4232674871488373e-05
9.099999999999984,5101555.999868681,6.2902871851995e-05,5.378882417762981e-05,1.4613740604509018e-05
9.199999999999983,5101555.999867906,6.242425290495028e-05,5.4654750987775786e-05,1.5001048467630263e-05
9.299999999999983,5101555.999867119,6.196724823636548e-05,5.550519308524042e-05,1.5394485896530543e-05
9.399999999999983,5105437.99971724,9.981184829742709e-05,0.00012540971884221757,5.7526437890946815e-05
9.499999999999982,5105437.999715448,9.960921186253712e-05,0.00012650422297371278,5.842613760627369e-05
9.599999999999982,5105437.999713641,9.94260683506344e-05,0.00012758709389757436,5.933361337955251e-05
9.699999999999982,5105437.999711818,9.926186723816576e-05,0.00012865879737106205,6.024878378839629e-05
9.799999999999981,5101555.999846918,7.514555206348413e-05,6.046303663463684e-05,1.7461385322951695e-05
9.89999999999998,5101555.999846046,7.452029932225562e-05,6.152396920922058e-05,1.7897065156333154e-05
9.99999999999998,5101555.999845159,7.392229217602501e-05,6.256516337600177e-05,1.8340252176910563e-05
10.09999999999998,5101555.999844258,7.335071676608935e-05,6.358729442938296e-05,1.8790807820383514e-05
10.19999999999998,5101555.999843342,7.280478475231309e-05,6.459101689416141e-05,1.9248598271413746e-05
10.29999999999998,5101555.999842413,7.228373251869041e-05,6.557696517394051e-05,1.9713494317598806e-05
10.399999999999979,5105437.999682335,0.00011224597579696742,0.00013845640421388824,6.695146465121318e-05
10.499999999999979,5105437.999680357,0.00011198165691230728,0.00013970522886971816,6.79449075115469e-05
10.599999999999978,5105437.999678361,0.00011174023502433852,0.00014094012677517178,6.894722047778984e-05
10.699999999999978,5105437.999676348,0.00011152105976491164,0.0001421616468511018,6.995830604366189e-05
10.799999999999978,5101555.999820855,8.576581989472301e-05,7.121575913674198e-05,2.2152219823107688e-05
10.899999999999977,5101555.999819829,8.508331328237878e-05,7.241123249971898e-05,2.266518657377657e-05
10.999999999999977,5101555.999818786,8.443107412216556e-05,7.358489917189447e-05,2.3186614085775778e-05
11.099999999999977,5101555.999817726,8.380819999337212e-05,7.473750850207862e-05,2.3716349287204223e-05
11.199999999999976,5101555.9998166505,8.321381677876157e-05,7.586978680540065e-05,2.4254244375954255e-05
11.299999999999976,5101555.999815559,8.264707778347078e-05,7.698243808246515e-05,2.4800156657767335e-05
11.399999999999975,5105437.999644841,0.00012473152590011558,0.0001530512628342382,7.736468315627867e-05
11.499999999999975,5105437.999642655,0.000124426403390075,0.00015444462280769629,7.846289230462622e-05
11.599999999999975,5105437.999640449,0.0001241470301219544,0.0001558222426985284,7.957099743615552e-05
11.699999999999974,5105437.999638223,0.0001238926736019475,0.0001571847403534362,8.068888833964776e-05
11.799999999999974,5101555.999792504,9.656064841205605e-05,8.326689077942243e-05,2.765766690724158e-05
11.899999999999974,5101555.9997913055,9.583575561197159e-05,8.45912913490323e-05,2.8257174676815896e-05
11.999999999999973,5101555.999790087,9.514378069485554e-05,8.589214946754195e-05,2.8866057878259454e-05
12.099999999999973,5101555.9997888515,9.448374466703319e-05,8.717027888964367e-05,2.948415127258984e-05
12.199999999999973,5101555.999787597,9.385469925151265e-05,8.84264683761446e-05,3.0111295343622304e-05
12.299999999999972,5101555.999786325,9.325572593181198e-05,8.966148247441386e-05,3.074733612224401e-05
12.399999999999972,5101555.999785035,9.268593502558477e-05,9.087606227451854e-05,3.139212501617566e-05
12.499999999999972,5101555.999783728,9.214446478711592e-05,9.207092614180598e-05,3.204551864504947e-05
12.599999999999971,5101555.999782405,9.163048053778775e-05,9.324677042666639e-05,3.2707378680638005e-05
12.69999999999997,5101555.999781065,9.11431738236453e-05,9.440427015218682e-05,3.337757169207334e-05
12.79999999999997,5101555.999779708,9.068176159921606e-05,9.554407968038545e-05,3.405596899590114e-05
12.89999999999997,5101555.999778335,9.024548543676625e-05,9.666683335769368e-05,3.474244651081904e-05
12.99999999999997,5101555.999776946,8.98336107602011e-05,9.77731461403327e-05,3.5436884616953444e-05
13.09999999999997,5101555.999775542,8.944542610284109e-05,9.886361420021101e-05,3.6139168019533346e-05
13.199999999999969,5101555.999774122,8.908024238833036e-05,9.993881551194998e-05,3.6849185616824265e-05
13.299999999999969,5101555.9997726865,8.873739223395647e-05,0.00010099931042162539,3.756683037218954e-05
13.399999999999968,5101555.999771236,8.841622927568306e-05,0.0001020456421977949,3.829199919015048e-05
13.499999999999968,5101555.9997697715,8.81161275142191e-05,0.00010307833756536331,3.902459279632083e-05
13.599999999999968,5101555.999768292,8.783648068146898e-05,0.00010409790722282039,3.9764515621094806e-05
13.699999999999967,5101555.999766797,8.757670162672872e-05,0.00010510484634336966,4.051167568697191e-05
13.799999999999967,5101555.999765288,8.733622172201268e-05,0.00010609963506044979,4.126598449940518e-05
13.899999999999967,5101555.999763765,8.711449028591493e-05,0.00010708273893813522,4.202735694106316e-05
13.999999999999966,5101555.999762229,8.691097402542773e-05,0.00010805460942688715,4.279571116939927e-05
14.099999999999966,5101555.999760678,8.672515649515747e-05,0.00010901568430511122,4.357096851742558e-05
14.199999999999966,5101555.999759113,8.655653757339615e-05,0.00010996638810696457,4.435305339759123e-05
14.299999999999965,5101555.999757536,8.64046329545231e-05,0.0001109071325368404,4.5141893208668765e-05
14.399999999999965,5105437.999552051,0.00013560981036129147,0.00019723245322430567,0.0001150984637176426
14.499999999999964,5105437.999549233,0.00013571417351799337,0.00019853224690052405,0.00011651191335910731
14.599999999999964,5105437.9995463975,0.0001358348541737215,0.00019982503257091145,0.00011793462198846238
14.699999999999964,5105437.999543542,0.00013597143010048092,0.00020111118107524705,0.00011936654087955456
14.799999999999963,5101555.999729795,0.00010439873126555478,0.00011659822705392522,4.919904546277986e-05
14.899999999999963,5101555.999728121,0.0001039895053299049,0.00011784475954282613,5.003635201611985e-05
14.999999999999963,5101555.999726429,0.0001036058935819272,0.00011907452137608036,5.088250210148686e-05
15.099999999999962,5101555.999724719,0.00010324715606476195,0.00012028813495446637,5.173737816279958e-05
15.199999999999962,5101555.999722992,0.0001029125761416772,0.00012148620373634496,5.26008670216869e-05
15.299999999999962,5101555.999721248,0.00010260145977060612,0.00012266931282994546,5.347285974431133e-05
15.399999999999961,5105437.999503141,0.00015400270340780936,0.0002130978406254304,0.00012975077613439187
15.499999999999961,5105437.999500097,0.00015396725982277687,0.00021464986169010466,0.00013127845352053056
15.59999999999996,5105437.99949703,0.00015395446955067106,0.00021619035678945882,0.00013281717528855396
15.69999999999996,5105437.999493942,0.0001539637210048393,0.00021771985328885072,0.00013436686100310943
15.79999999999996,5101555.999691781,0.00012068921722419116,0.00012955119341714926,5.797142279085523e-05
15.89999999999996,5101555.999689919,0.00012014226704993765,0.0001310287992170367,5.890207841660196e-05
15.99999999999996,5101555.999688037,0.00011962689554477605,0.0001324853048515513,5.9843212546069737e-05
16.09999999999996,5101555.999686134,0.00011914218446627033,0.00013392148061291357,6.0794677229042994e-05
16.19999999999996,5101555.999684211,0.00011868724448169952,0.00013533807330137217,6.175632993304946e-05
16.29999999999996,5101555.999682267,0.00011826121426857883,0.00013673580695951952,6.272803337819679e-05
16.399999999999963,5105437.999450943,0.00017198786930811631,0.00023143621665355302,0.00014562673578492668
16.499999999999964,5105437.999447636,0.000171855669988071,0.0002332151692668038,0.0001472862141578439
16.599999999999966,5105437.999444305,0.00017175124954838463,0.0002349791038345182,0.00014895834530469438
16.699999999999967,5105437.9994409485,0.00017167384551806882,0.00023672867321244978,0.00015064302429720523
16.79999999999997,5101555.999650881,0.00013667856095451338,0.00014468712783517163,6.774805293157701e-05
16.89999999999997,5101555.999648802,0.00013603057377154878,0.00014637463620852456,6.878757412210804e-05
16.99999999999997,5101555.999646699,0.0001354191100641777,0.00014803758649078894,6.983906069714653e-05
17.099999999999973,5101555.999644573,0.00013484310563593356,0.00014967687066561372,7.090234044387492e-05
17.199999999999974,5101555.999642423,0.00013430152978473082,0.00015129335349584706,7.197724742305572e-05
17.299999999999976,5101555.999640251,0.00013379338426069447,0.00015288787337432676,7.306362177765184e-05
17.399999999999977,5105437.999395085,0.0001899733621175414,0.000252042562706856,0.00016289511272302572
17.49999999999998,5105437.999391484,0.0001897764783144793,0.0002540326323321163,0.00016470253493906898
17.59999999999998,5105437.999387855,0.00018961164022815338,0.00025600493493438186,0.00016652410802744
17.69999999999998,5105437.999384197,0.00018947796201755382,0.00025796022673281124,0.00016835970779537586
17.799999999999983,5101555.999606758,0.0001527258575942103,0.00016183265204323523,7.867816115940615e-05
17.899999999999984,5101555.999604433,0.0001520040169948281,0.0001637171872473545,7.984085576432297e-05
17.999999999999986,5101555.99960208,0.00015132292875966915,0.00016557433263055056,8.101691291254302e-05
18.099999999999987,5101555.999599702,0.00015068140563922886,0.00016740508337333287,8.220614053507112e-05
18.19999999999999,5101555.999597297,0.00015007829775213932,0.00016921040428747252,8.340835356231046e-05
18.29999999999999,5101555.999594867,0.0001495124914224714,0.0001709912307651885,8.462337371055093e-05
18.39999999999999,5105437.999335212,0.0002082742223395792,0.00027479534389604113,0.0001817131617247083
18.499999999999993,5105437.999331286,0.00020803676811982573,0.0002769877797236982,0.0001836838278862355
18.599999999999994,5105437.999327329,0.00020783502519293828,0.00027916023637868375,0.0001856700824393847
18.699999999999996,5105437.99932334,0.00020766800384642355,0.00028131355783554885,0.00018767178570534571
18.799999999999997,5101555.999559095,0.00016910957961865475,0.00018088728243168293,9.090131826205839e-05
18.9,5101555.999556496,0.00016833417802597487,0.0001829621643887364,9.220079862665728e-05
19.0,5101555.999553868,0.0001676032645746066,0.0001850072717959351,9.351499258271689e-05
