day,S,E,I,R
0,1066328,0,0,0
0.1,1066328.0,0.0,0.0,0.0
0.2,1066328.0,0.0,0.0,0.0
0.30000000000000004,1066328.0,0.0,0.0,0.0
0.4,1063833.9999821784,9.145767445643284e-07,1.643149015518274e-05,4.755289083041456e-07
0.5,1063833.9999819435,1.1288707003816196e-06,1.6334911870500634e-05,5.925488108104732e-07
0.6,1063833.9999817102,1.337555367174269e-06,1.6243235435723838e-05,7.088964626549303e-07
0.7,1063833.999981478,1.540811147114654e-06,1.6156315982045873e-05,8.246063568988374e-07
0.7999999999999999,1066327.9999961765,3.6014967638518695e-06,2.1937423903518293e-07,2.737661092732481e-09
0.8999999999999999,1066327.9999961727,3.533780684388745e-06,2.889067094723077e-07,4.554052066746125e-09
0.9999999999999999,1066327.999996168,3.468375934648598e-06,3.5661797111034147e-07,6.860563964649119e-09
1.0999999999999999,1066327.9999961625,3.4052114043268877e-06,4.2256633496774864e-07,9.644397500366222e-09
1.2,1066327.999996156,3.34421820302743e-06,4.868083021638626e-07,1.2893163397045897e-08
1.3,1066327.9999961485,3.285329591108895e-06,5.493986203471271e-07,1.659486966180208e-08
1.4000000000000001,1063833.9999760224,6.0561135401827125e-06,1.6280992210969077e-05,1.6401779506714725e-06
1.5000000000000002,1063833.9999757898,6.166469632799954e-06,1.6286909076862107e-05,1.7564905951697728e-06
1.6000000000000003,1063833.9999755572,6.274724215373567e-06,1.6294962053059775e-05,1.8728531660626375e-06
1.7000000000000004,1063833.9999753244,6.380949113317514e-06,1.6305094774477492e-05,1.9892807188821813e-06
1.8000000000000005,1066327.9999924526,6.454667912874519e-06,1.0483638714009387e-06,4.4110200219006477e-08
1.9000000000000006,1066327.9999924367,6.342540221140696e-06,1.168410459736331e-06,5.202909682068836e-08
2.0000000000000004,1066327.9999924193,6.234308963849943e-06,1.2854071373628367e-06,6.079451715656444e-08
2.1000000000000005,1066327.9999924002,6.129854549221238e-06,1.3994520633944615e-06,7.038502855962056e-08
2.2000000000000006,1066327.9999923795,6.029061120176979e-06,1.5106403524477071e-06,8.077988856875584e-08
2.3000000000000007,1066327.999992357,5.931816438007238e-06,1.619064169571729e-06,9.195902352319689e-08
2.400000000000001,1063833.99997,1.0158671010676446e-05,1.7013021162997676e-05,2.8270821420523193e-06
2.500000000000001,1063833.999969757,1.0198144697227627e-05,1.709477719269987e-05,2.948895585263458e-06
2.600000000000001,1063833.9999695127,1.0237993093738792e-05,1.7176741742941e-05,3.071293741257051e-06
2.700000000000001,1063833.9999692673,1.027821172972942e-05,1.7258920752346153e-05,3.194278120753365e-06
2.800000000000001,1066327.9999886686,8.842492302652506e-06,2.3262715434505155e-06,1.6149695454312472e-07
2.9000000000000012,1066327.9999886341,8.701429050753003e-06,2.4845185408605414e-06,1.7868070005401413e-07
3.0000000000000013,1066327.9999885976,8.565369519752496e-06,2.638878193591018e-06,1.9698082178437413e-07
3.1000000000000014,1066327.9999885587,8.434160545128428e-06,2.7894763512383e-06,2.163700048080032e-07
3.2000000000000015,1066327.9999885177,8.307653747392306e-06,2.936434963287847e-06,2.3682181912186732e-07
3.3000000000000016,1066327.9999884747,8.185705383044786e-06,3.079872200737864e-06,2.5831069222482707e-07
3.4000000000000017,1063833.9999639178,1.3580610955447466e-05,1.840924111028656e-05,4.091020200566936e-06
3.5000000000000018,1063833.9999636547,1.3572073553655596e-05,1.8548774064553367e-05,4.223013806801416e-06
3.600000000000002,1063833.9999633897,1.3565678730608365e-05,1.868716521227779e-05,4.355999968751622e-06
3.700000000000002,1063833.9999631227,1.3561367910915327e-05,1.882446479275224e-05,4.489970710993535e-06
3.800000000000002,1066327.9999847058,1.09598630173493e-05,3.94987004159066e-06,3.829857321690241e-07
3.900000000000002,1066327.999984648,1.0800053648826352e-05,4.138569398856392e-06,4.118757209126378e-07
4.000000000000002,1066327.9999845875,1.0646045755796695e-05,4.322799081982309e-06,4.4209751100977163e-07
4.100000000000001,1066327.9999845244,1.0497662282028213e-05,4.50270474387294e-06,4.736196991328345e-07
4.200000000000001,1066327.9999844588,1.0354731705156542e-05,4.678427527751884e-06,5.064119061410611e-07
4.300000000000001,1066327.9999843908,1.0217087864326343e-05,4.850104207813509e-06,5.404447453734825e-07
4.4,1063833.9999576272,1.6574235602910947e-05,2.0323070048184682e-05,5.473880129116869e-06
