day,S,E,I,R
0,1023119,0,0,0
0.1,1023119.0,0.0,0.0,0.0
0.2,1023119.0,0.0,0.0,0.0
0.30000000000000004,1023119.0,0.0,0.0,0.0
0.4,1020641.9999854614,7.46102081092427e-07,1.3404636705543822e-05,3.879314778270663e-07
0.5,1020641.9999852699,9.209208345227918e-07,1.3325849157513699e-05,4.833950825032811e-07
0.6,1020641.9999850795,1.0911635890119954e-06,1.3251060487037917e-05,5.783102721658647e-07
0.7,1020641.9999848902,1.2569775147532947e-06,1.3180152511669078e-05,6.727051858911579e-07
0.7999999999999999,1023118.999997258,2.5828292446091584e-06,1.5732520039223576e-07,1.9633256936155673e-09
0.8999999999999999,1023118.9999972554,2.534266360387462e-06,2.0719071738992836e-07,3.26595846961872e-09
0.9999999999999999,1023118.9999972521,2.487361056442489e-06,2.557501464871549e-07,4.920083621881239e-09
1.0999999999999999,1023118.9999972482,2.4420623357065756e-06,3.030453056872757e-07,6.916522086099338e-09
1.2,1023118.9999972435,2.398320793129098e-06,3.4911671501652894e-07,9.24638883788735e-09
1.3,1023118.9999972382,2.356088566082736e-06,3.9400363699179174e-07,1.1901083766802815e-08
1.4000000000000001,1020641.9999808134,4.6276200132314315e-06,1.3222697375905605e-05,1.3360297876352872e-06
1.5000000000000002,1020641.9999806244,4.723006247767256e-06,1.3221763454776687e-05,1.430473151023464e-06
1.6000000000000003,1020641.9999804356,4.8164904991153895e-06,1.3222718070522337e-05,1.5249166189943148e-06
1.7000000000000004,1020641.9999802466,4.908137140163086e-06,1.3225510521862355e-05,1.6193734990389925e-06
1.8000000000000005,1023118.999994586,4.6301592008369104e-06,7.519067848784439e-07,3.163464540917647e-08
1.9000000000000006,1023118.9999945746,4.549724373441349e-06,8.380212504936137e-07,3.731428362884546e-08
2.0000000000000004,1023118.999994562,4.472084640385697e-06,9.219478687735475e-07,4.360116885319452e-08
2.1000000000000005,1023118.9999945483,4.397154212845757e-06,1.0037570538613501e-06,5.047992640112946e-08
2.2000000000000006,1023118.9999945334,4.3248499810759505e-06,1.0835170359386232e-06,5.793567670867572e-08
2.3000000000000007,1023118.9999945173,4.255091430956218e-06,1.1612939293233374e-06,6.595401997374317e-08
2.400000000000001,1020641.9999762683,7.722573732000324e-06,1.3712052398715904e-05,2.296239060957204e-06
2.500000000000001,1020641.9999760723,7.763597118833484e-06,1.3768769927944512e-05,2.394384607729658e-06
2.600000000000001,1020641.9999758757,7.804610389842918e-06,1.3825901218606536e-05,2.4929367593099225e-06
2.700000000000001,1020641.9999756783,7.845619597496289e-06,1.3883443184779447e-05,2.5918984600304767e-06
2.800000000000001,1023118.999991869,6.345640235511124e-06,1.6687561792427478e-06,1.1583375333267252e-07
2.9000000000000012,1023118.9999918443,6.24439985957238e-06,1.7823235280975529e-06,1.281607262489306e-07
3.0000000000000013,1023118.999991818,6.146750548059101e-06,1.8931009893744182e-06,1.4128887601272592e-07
3.1000000000000014,1023118.9999917902,6.05258237772012e-06,2.0011788828193856e-06,1.5519859911893477e-07
3.2000000000000015,1023118.9999917608,5.961788859430313e-06,2.1066447291441597e-06,1.6987092715413781e-07
3.3000000000000016,1023118.99999173,5.87426683122395e-06,2.209583337313037e-06,1.852875071169013e-07
3.4000000000000017,1020641.999971681,1.030074380015755e-05,1.4706867697653652e-05,3.3102371357084874e-06
3.5000000000000018,1020641.999971471,1.0304786472629977e-05,1.4807514248400311e-05,3.415646022450035e-06
3.600000000000002,1020641.9999712595,1.0310172619987805e-05,1.4907538469442002e-05,3.5217715718788723e-06
3.700000000000002,1020641.9999710466,1.0316866837536115e-05,1.5006971209534668e-05,3.628609449509612e-06
3.800000000000002,1023118.9999890206,7.86944002850426e-06,2.8341963421321778e-06,2.7473920548519864e-07
3.900000000000002,1023118.9999889792,7.754666307048804e-06,2.9697002082022135e-06,2.954693501002233e-07
4.000000000000002,1023118.9999889358,7.644058896364221e-06,3.101994120887646e-06,3.1715585210154014e-07
4.100000000000001,1023118.9999888905,7.53749064308615e-06,3.2311826808467834e-06,3.3977615878309766e-07
4.200000000000001,1023118.9999888435,7.4348383680061925e-06,3.3573672501018915e-06,3.633084529587598e-07
4.300000000000001,1023118.9999887946,7.335982742292185e-06,3.4806460530484476e-06,3.877316301918423e-07
4.4,1020641.9999669411,1.2552289741585152e-05,1.6095486151790846e-05,4.409898527204514e-06
4.5,1020641.9999667112,1.253138916566885e-05,1.623087014721375e-05,4.5253506241445965e-06
4.6,1020641.9999664791,1.251281729368282e-05,1.6364897346438483e-05,4.641764870429924e-06
4.699999999999999,1020641.9999662454,1.2496508823939302e-05,1.64976231608406e-05,4.759131773569885e-06
4.799999999999999,1023118.9999859735,9.29818007829954e-06,4.2026437665172686e-06,5.243367134262413e-07
4.899999999999999,1023118.9999859123,9.174603118711554e-06,4.3567922672497565e-06,5.549082545715827e-07
4.999999999999998,1023118.999985849,9.055628323540824e-06,4.50742704554282e-06,5.8656823769479e-07
5.099999999999998,1023118.9999857836,8.941115688943295e-06,4.654663421236868e-06,6.192919787922157e-07
5.1999999999999975,1023118.9999857161,8.830929588955437e-06,4.798613147198446e-06,6.530556047668762e-07
5.299999999999997,1023118.9999856465,8.724938639149462e-06,4.939384520586114e-06,6.878360283495425e-07
5.399999999999997,1023118.9999855749,8.623015564537334e-06,5.077082490649833e-06,7.236109238021396e-07
5.4999999999999964,1023118.9999855014,8.525037071591203e-06,5.211808763171871e-06,7.603587033790855e-07
5.599999999999996,1023118.999985426,8.430883724251985e-06,5.343661901653886e-06,7.980584945229533e-07
5.699999999999996,1023118.9999853487,8.340439823801816e-06,5.4727374253515795e-06,8.366901177715805e-07
5.799999999999995,1023118.9999852696,8.253593292479991e-06,5.599127904255148e-06,8.762340653544608e-07
5.899999999999995,1023118.9999851887,8.170235560725751e-06,5.722923051110704e-06,9.166714804569432e-07
5.999999999999995,1023118.999985106,8.090261457934876e-06,5.844209810574872e-06,9.579841371314349e-07
6.099999999999994,1023118.9999850218,8.013569106620639e-06,5.9630724455918935e-06,1.0001544208354502e-06
6.199999999999994,1023118.9999849357,7.940059819873003e-06,6.079592621079795e-06,1.0431653095769788e-06
6.299999999999994,1023118.9999848481,7.869638002013317e-06,6.1938494850094585e-06,1.08700035564825e-06
6.399999999999993,1023118.9999847588,7.802211052344927e-06,6.30591974695784e-06,1.1316436679295674e-06
6.499999999999993,1023118.9999846679,7.737689271903238e-06,6.415877754214054e-06,1.1770798947454496e-06
6.5999999999999925,1023118.9999845754,7.675985773111772e-06,6.523795565514556e-06,1.223294207255875e-06
6.699999999999992,1023118.9999844815,7.617016392253664e-06,6.629743022481328e-06,1.2702722833659596e-06
6.799999999999992,1023118.999984386,7.5606996046708706e-06,6.733787818834627e-06,1.318000292137917e-06
6.8999999999999915,1023118.999984289,7.506956442606105e-06,6.8359955674496466e-06,1.366464878689655e-06
6.999999999999991,1023118.9999841907,7.455710415605143e-06,6.936429865324286e-06,1.4156531495648476e-06
7.099999999999991,1023118.9999840909,7.406887433399727e-06,7.035152356523105e-06,1.465552658559798e-06
7.19999999999999,1023118.9999839898,7.360415731193773e-06,7.1322227931605425e-06,1.5161513929928597e-06
7.29999999999999,1023118.9999838872,7.31622579727799e-06,7.227699094484489e-06,1.5674377604026337e-06
7.39999999999999,1020641.999956434,1.4373949868170594e-05,2.0806023067958778e-05,8.384598459942274e-06
7.499999999999989,1020641.9999561368,1.4383602919472951e-05,2.0944489470465883e-05,8.533707907090929e-06
7.599999999999989,1020641.9999558376,1.439502326931611e-05,2.1082180413997902e-05,8.683803606138071e-06
7.699999999999989,1020641.9999555364,1.4408164954904008e-05,2.1219136177785375e-05,8.834880162663876e-06
7.799999999999988,1023118.9999806071,9.715609318654246e-06,7.840125902689215e-06,1.8357604257267659e-06
7.899999999999988,1023118.999980494,9.635091773191855e-06,7.977135207609062e-06,1.8922521851863699e-06
7.999999999999988,1023118.9999803791,9.558088255876552e-06,8.111599982008316e-06,1.949713442272518e-06
8.099999999999987,1023118.9999802622,9.484493816085153e-06,8.243607313940743e-06,2.0081263344157936e-06
8.199999999999987,1023118.9999801435,9.414206794008009e-06,8.373241613087921e-06,2.067473611488124e-06
8.299999999999986,1023118.999980023,9.347128718200587e-06,8.500584694376632e-06,2.127738616971759e-06
8.399999999999986,1020641.9999505817,1.6881512359173032e-05,2.2601045297358013e-05,9.934429321691074e-06
8.499999999999986,1020641.9999502589,1.6866900790406944e-05,2.2776465483488587e-05,1.0096492779987439e-05
8.599999999999985,1020641.9999499335,1.685505965895081e-05,2.295037367303792e-05,1.0259803800213882e-05
8.699999999999985,1020641.9999496057,1.6845912721086e-05,2.3122835075672427e-05,1.0424351816471442e-05
8.799999999999985,1023118.99997655,1.1736254594126774e-05,9.268190198190978e-06,2.444308577635551e-06
8.899999999999984,1023118.9999764164,1.1636136778849599e-05,9.435107406648683e-06,2.5111079708191523e-06
8.999999999999984,1023118.9999762804,1.1540339866036457e-05,9.598884699638347e-06,2.5790883509988173e-06
9.099999999999984,1023118.9999761421,1.1448734650051616e-05,9.759629239544832e-06,2.648227674923677e-06
9.199999999999983,1023118.9999760016,1.1361195975869135e-05,9.917444891751567e-06,2.7185046529512182e-06
9.299999999999983,1023118.9999758587,1.1277602612967416e-05,1.0072432327565513e-05,2.789898725866803e-06
