day,S,E,I,R
0,2031903,0,0,0
0.1,2031903.0,0.0,0.0,0.0
0.2,2031903.0,0.0,0.0,0.0
0.30000000000000004,2031903.0,0.0,0.0,0.0
0.4,2016048.399995513,2.3024870674643048e-07,4.136699714506542e-06,1.1971648831867524e-07
0.5,2016048.399995454,2.841981500100436e-07,4.1123857077488785e-06,1.4917676201982996e-07
0.6,2016048.3999953952,3.36735430159548e-07,4.089305763204235e-06,1.7846779366839094e-07
0.7,2016048.3999953368,3.87905964233078e-07,4.067423409515192e-06,2.0759826704383135e-07
0.7999999999999999,2031902.9999987208,1.2043874292934356e-06,7.33616030085087e-08,9.155095290684341e-10
0.8999999999999999,2031902.9999987197,1.1817422902821534e-06,9.661416682102647e-08,1.5229343303047618e-09
0.9999999999999999,2031902.999998718,1.1598700900365647e-06,1.1925769468889142e-07,2.2942619525819865e-09
1.0999999999999999,2031902.9999987162,1.138747048344581e-06,1.4131168657621085e-07,3.225212147918873e-09
1.2,2031902.999998714,1.118350127360383e-06,1.6279503719324776e-07,4.3116417807591875e-09
1.3,2031902.9999987115,1.09865700847859e-06,1.837260548667597e-07,5.54954057247959e-09
1.4000000000000001,2016048.3999936522,1.784397292936567e-06,4.147925908968668e-06,4.1459066445189635e-07
1.5000000000000002,2016048.399993593,1.8077313134591277e-06,4.154197782239191e-06,4.442408550724608e-07
1.6000000000000003,2016048.3999935337,1.8306919975699026e-06,4.160886296795546e-06,4.739373390085539e-07
1.7000000000000004,2016048.3999934741,1.8532926307181398e-06,4.167981180087201e-06,5.036830553798361e-07
1.8000000000000005,2031902.9999974747,2.159258161147241e-06,3.506293150159427e-07,1.4751542048199452e-08
1.9000000000000006,2031902.9999974694,2.1217473895055756e-06,3.907886252296038e-07,1.7400080620201663e-08
2.0000000000000004,2031902.9999974635,2.085540107502869e-06,4.299276342297578e-07,2.0331807617656707e-08
2.1000000000000005,2031902.999997457,2.0505963075918102e-06,4.6807917959090663e-07,2.353955306775458e-08
2.2000000000000006,2031902.99999745,2.016877231611148e-06,5.052750803989295e-07,2.701637789512389e-08
2.3000000000000007,2031902.9999974426,1.9843453318674062e-06,5.41546169008469e-07,3.075556676093075e-08
2.400000000000001,2016048.3999918292,3.027847855949899e-06,4.422012786769015e-06,7.200950099043834e-07
2.500000000000001,2016048.399991766,3.0304365369677205e-06,4.45090662705468e-06,7.517840998401949e-07
2.600000000000001,2016048.3999917023,3.033382627502893e-06,4.479649984729257e-06,7.836790320166792e-07
2.700000000000001,2016048.3999916385,3.0366769219761344e-06,4.508250961417819e-06,8.157787606364591e-07
2.800000000000001,2031902.9999962072,2.959690654158083e-06,7.782249764501437e-07,5.40164343597593e-08
2.9000000000000012,2031902.9999961958,2.9124693219085005e-06,8.311950247168847e-07,5.976515037693921e-08
3.0000000000000013,2031902.9999961834,2.8669229490927545e-06,8.828637981524867e-07,6.5887550996818e-08
3.1000000000000014,2031902.9999961704,2.8230002647919004e-06,9.332734241000174e-07,7.237449264351894e-08
3.2000000000000015,2031902.9999961567,2.7806515998479475e-06,9.82464724363925e-07,7.921712796349925e-08
3.3000000000000016,2031902.9999961422,2.7398288369719788e-06,1.0304772559228112e-06,8.64068966464441e-08
3.4000000000000017,2016048.399989982,4.07050961360978e-06,4.894273599100656e-06,1.0525564211303593e-06
3.5000000000000018,2016048.399989912,4.059131773287567e-06,4.940445305839874e-06,1.0876807489858716e-06
3.600000000000002,2016048.3999898413,4.04863227290397e-06,4.986070435387992e-06,1.12313290990442e-06
