day,S,E,I,R
0,1279594,0,0,0
0.1,1279594.0,0.0,0.0,0.0
0.2,1279594.0,0.0,0.0,0.0
0.30000000000000004,1279594.0,0.0,0.0,0.0
0.4,1279016.1999941224,3.016498736467099e-07,5.41950903363923e-06,1.5684111361610427e-07
0.5,1279016.1999940448,3.7232928363649057e-07,5.38765514325288e-06,1.9543715163573515e-07
0.6,1279016.199993968,4.41158612333922e-07,5.35741800336163e-06,2.3381146487566183e-07
0.7,1279016.1999938914,5.081973608063854e-07,5.328749832674925e-06,2.719754299947056e-07
0.7999999999999999,1279593.9999988566,1.0773975635496973e-06,6.562640095209223e-08,8.189787704265071e-10
0.8999999999999999,1279593.9999988554,1.0571401139918291e-06,8.642722881577104e-08,1.3623570762381845e-09
0.9999999999999999,1279593.999998854,1.037574105014191e-06,1.0668323710816866e-07,2.05235639099889e-09
1.0999999999999999,1279593.9999988524,1.0186782637755511e-06,1.2641186972923585e-07,2.885147773427592e-09
1.2,1279593.9999988505,1.0004319815263065e-06,1.4563002914267006e-07,3.857024937618958e-09
1.3,1279593.9999988482,9.828152929210259e-07,1.6435409325657757e-07,4.964400446247705e-09
1.4000000000000001,1279016.1999922101,1.8989631950282642e-06,5.351247418418471e-06,5.403382333844557e-07
1.5000000000000002,1279016.1999921335,1.9370482031938273e-06,5.35138556554419e-06,5.785614697843985e-07
1.6000000000000003,1279016.199992057,1.9743810315975707e-06,5.352274186786428e-06,6.167883853600046e-07
1.7000000000000004,1279016.1999919806,2.010987188956054e-06,5.353893206047427e-06,6.55024268551281e-07
1.8000000000000005,1279593.999997742,1.931645567770546e-06,3.136625760559162e-07,1.3196189618478314e-08
1.9000000000000006,1279593.9999977374,1.8980888113302398e-06,3.495886391170852e-07,1.5565496239349538e-08
2.0000000000000004,1279593.999997732,1.8656981428276374e-06,3.8460195138818326e-07,1.8188140007854486e-08
2.1000000000000005,1279593.9999977262,1.8344377719345256e-06,4.187318890147499e-07,2.105770674131957e-08
2.2000000000000006,1279593.99999772,1.80427302601022e-06,4.520069170131932e-07,2.4167988815468454e-08
2.3000000000000007,1279593.9999977131,1.7751703152856777e-06,4.844546176806109e-07,2.7512978758355793e-08
2.400000000000001,1279016.1999903398,3.173130926635655e-06,5.558808038037435e-06,9.292749976597369e-07
2.500000000000001,1279016.1999902604,3.1889214201995515e-06,5.582638294785398e-06,9.690657907478091e-07
2.600000000000001,1279016.1999901808,3.2047362915410224e-06,5.606613870551289e-06,1.0090273192796307e-06
2.700000000000001,1279016.1999901007,3.220577113311551e-06,5.630734232600217e-06,1.0491606193245759e-06
2.800000000000001,1279593.9999966088,2.647833068123945e-06,6.961924234862683e-07,4.8321749638351475e-08
2.9000000000000012,1279593.9999965986,2.605586912261432e-06,7.435813329554814e-07,5.346450324507877e-08
