day,S,E,I,R
0,1385262,0,0,0
0.1,1385262.0,0.0,0.0,0.0
0.2,1385262.0,0.0,0.0,0.0
0.30000000000000004,1385262.0,0.0,0.0,0.0
0.4,1385287.9999976866,1.1873452473336767e-07,2.133211002602677e-06,6.173533195527501e-08
0.5,1385287.999997656,1.4655514355921954e-07,2.1206727691527324e-06,7.692738947364045e-08
0.6,1385287.9999976258,1.7364753889765628e-07,2.1087709162168197e-06,9.203217234467548e-08
0.7,1385287.9999975956,2.0003513138158332e-07,2.0974866362656753e-06,1.0705415861493744e-07
0.7999999999999999,1385261.9999994624,5.065288847525485e-07,3.085366888686909e-08,3.8503558692713455e-10
0.8999999999999999,1385261.999999462,4.970050249633533e-07,4.063299315506261e-08,6.405000659256237e-10
0.9999999999999999,1385261.9999994612,4.878062398149643e-07,5.0156175346117053e-08,9.648971085912527e-10
1.0999999999999999,1385261.9999994605,4.789225280702251e-07,5.943141655449071e-08,1.3564265722260258e-09
1.2,1385261.9999994596,4.7034420070875413e-07,6.846666332320158e-08,1.8133459794662344e-09
1.3,1385261.9999994587,4.620618712009198e-07,7.726961558012058e-08,2.3339687285513295e-09
1.4000000000000001,1385287.999996847,8.204583287422349e-07,2.1201444350916305e-06,2.1315526109022058e-07
1.5000000000000002,1385287.9999968165,8.341990743153288e-07,2.121542742030556e-06,2.2830398622229705e-07
1.6000000000000003,1385287.9999967862,8.476875122770273e-07,2.123202406951187e-06,2.4346363679747775e-07
1.7000000000000004,1385287.999996756,8.609323352490296e-07,2.1251166284975107e-06,2.586360552355259e-07
1.8000000000000005,1385261.9999989388,9.080800424680921e-07,1.474618230219307e-07,6.204024751880207e-09
1.9000000000000006,1385261.9999989364,8.923048741055632e-07,1.643508677670526e-07,7.317901134474952e-09
2.0000000000000004,1385261.9999989339,8.770778892332271e-07,1.8081082424671866e-07,8.550872741806885e-09
2.1000000000000005,1385261.999998931,8.623822626506073e-07,1.9685550232520524e-07,9.899924237675772e-09
2.2000000000000006,1385261.999998928,8.482016945873699e-07,2.124982835407208e-07,1.1362137389956181e-08
2.3000000000000007,1385261.9999989248,8.345203943362122e-07,2.2775213446099561e-07,1.2934688059075752e-08
2.400000000000001,1385287.9999960242,1.3809831787167133e-06,2.2270417620607955e-06,3.6812789741164017e-07
2.500000000000001,1385287.9999959925,1.3851367235528768e-06,2.238753829223863e-06,3.840771677274708e-07
2.600000000000001,1385287.9999959604,1.3893736758822273e-06,2.2504661466145987e-06,4.001100955676327e-07
2.700000000000001,1385287.9999959283,1.3936923876649155e-06,2.2621803581624057e-06,4.1622668861725193e-07
2.800000000000001,1385261.9999984058,1.2446169798393173e-06,3.2728262906638987e-07,2.2717163867233313e-08
2.9000000000000012,1385261.999998401,1.2247596412226387e-06,3.495575852957305e-07,2.513478147990102e-08
3.0000000000000013,1385261.9999983958,1.2056066529670399e-06,3.712853329653065e-07,2.7709540893884186e-08
3.1000000000000014,1385261.9999983904,1.1871364547458552e-06,3.924835873701439e-07,3.043759707754319e-08
3.2000000000000015,1385261.9999983846,1.1693281598012296e-06,4.1316951480320415e-07,3.3315229565984604e-08
3.3000000000000016,1385261.9999983786,1.1521615339637014e-06,4.333597496758254e-07,3.633883860108489e-08
3.4000000000000017,1385287.9999951932,1.8495276826177543e-06,2.4243266619274327e-06,5.341029517939015e-07
