day,S,E,I,R
0,1279594,0,0,0
0.1,1279594.0,0.0,0.0,0.0
0.2,1279594.0,0.0,0.0,0.0
0.30000000000000004,1279594.0,0.0,0.0,0.0
0.4,1279593.7110999974,1.5082493682353097e-10,2.709754516819617e-09,7.842055680805215e-11
0.5,1279593.7110999974,1.8616464181859504e-10,2.6938275716264465e-09,9.771857581786764e-11
0.6,1279593.7110999974,2.205793061674824e-10,2.6787090016808296e-09,1.1690573243783086e-10
0.7,1279593.7110999974,2.540986804038838e-10,2.664374916337491e-09,1.3598771499735314e-10
0.7999999999999999,1279593.9999999998,5.5390235939944e-10,3.3739280240439435e-11,4.210463143782824e-13
0.8999999999999999,1279593.9999999998,5.434877738414969e-10,4.4433222774695855e-11,7.004032906916464e-13
0.9999999999999999,1279593.9999999998,5.334286657616279e-10,5.4847067361649383e-11,1.0551397977761623e-12
1.0999999999999999,1279593.9999999998,5.237140985498497e-10,6.498978210895754e-11,1.4832873333061183e-12
1.2,1279593.9999999998,5.143334770132499e-10,7.487005676573284e-11,1.982940453481543e-12
1.3,1279593.9999999998,5.052765367403289e-10,8.449631140108347e-11,2.552254815911199e-12
1.4000000000000001,1279593.7110999967,9.619720256416105e-10,2.6779855094180534e-09,2.7024935881915487e-10
1.5000000000000002,1279593.7110999967,9.80800607518105e-10,2.6782845503523063e-09,2.8937867185723643e-10
1.6000000000000003,1279593.7110999967,9.992605880707826e-10,2.6789530033293576e-09,3.085114461896846e-10
1.7000000000000004,1279593.7110999967,1.0173644909866762e-09,2.6799810186879576e-09,3.2765028510560876e-10
1.8000000000000005,1279593.9999999995,9.931486587056163e-10,1.6126145186728007e-10,6.7843590700545e-12
1.9000000000000006,1279593.9999999995,9.758954732074487e-10,1.7973275778315885e-10,8.0024794877657e-12
2.0000000000000004,1279593.9999999995,9.5924183029385e-10,1.9773477384519974e-10,9.35085263620806e-12
2.1000000000000005,1279593.9999999995,9.43169328411222e-10,2.1528260376173916e-10,1.08261806701195e-11
2.2000000000000006,1279593.9999999995,9.276601406636308e-10,2.3239088278518935e-10,1.2425271945978382e-11
2.3000000000000007,1279593.9999999995,9.126969969122614e-10,2.4907379231891273e-10,1.4145037728332407e-11
2.400000000000001,1279593.7110999962,1.6092216932329527e-09,2.786090917430754e-09,4.6503997165841405e-10
2.500000000000001,1279593.7110999962,1.616762894791217e-09,2.798406418768054e-09,4.849845675832866e-10
2.600000000000001,1279593.7110999962,1.624328958600427e-09,2.8107848011745017e-09,5.050173559214597e-10
2.700000000000001,1279593.7110999962,1.6319202817325944e-09,2.8232261165477316e-09,5.251387860042691e-10
2.800000000000001,1279593.9999999993,1.3615255674409589e-09,3.5794718482083993e-10,2.4843661898449937e-11
2.9000000000000012,1279593.9999999993,1.3398019086328515e-09,3.8231499939588403e-10,2.7487817665386676e-11
