day,S,E,I,R
0,1023119,0,0,0
0.1,1023119.0,0.0,0.0,0.0
0.2,1023119.0,0.0,0.0,0.0
0.30000000000000004,1023119.0,0.0,0.0,0.0
0.4,1023118.752299999,7.46102081095127e-11,1.3404636705543847e-09,3.879314778270666e-11
0.5,1023118.752299999,9.209208345281565e-11,1.3325849157513807e-09,4.8339508250328136e-11
0.6,1023118.752299999,1.0911635890199934e-10,1.3251060487038152e-09,5.783102721658663e-11
0.7,1023118.752299999,1.256977514763894e-10,1.3180152511669501e-09,6.727051858911614e-11
0.7999999999999999,1023119.0000000002,2.9378876888973696e-10,1.7895250736783244e-11,2.2332217267083408e-13
0.8999999999999999,1023119.0000000002,2.8826489231177627e-10,2.356729772918567e-11,3.714925871125557e-13
0.9999999999999999,1023119.0000000002,2.8292956031911866e-10,2.909078129752929e-11,5.596441627985619e-13
1.0999999999999999,1023119.0000000002,2.7777697215441356e-10,3.447045810923619e-11,7.86732809800342e-13
1.2,1023119.0000000002,2.7280150814728204e-10,3.971093719088011e-11,1.0517478843127514e-12
1.3,1023119.0000000002,2.679977240731842e-10,4.4816684531268056e-11,1.353711150602835e-12
1.4000000000000001,1023118.7522999991,4.936013946372787e-10,1.3281011218156085e-09,1.3380109995571687e-10
1.5000000000000002,1023118.7522999991,5.026118351499703e-10,1.3285755288320633e-09,1.432891255953646e-10
1.6000000000000003,1023118.7522999991,5.114505669068779e-10,1.329224407327365e-09,1.5278116575504173e-10
1.7000000000000004,1023118.7522999991,5.201234576596997e-10,1.3300431523104975e-09,1.6227845012376385e-10
1.8000000000000005,1023119.0000000005,5.267641770377048e-10,8.55327704175423e-11,3.5984112798901586e-12
1.9000000000000006,1023119.0000000005,5.176131199655872e-10,9.532991626540856e-11,4.244500055638884e-12
2.0000000000000004,1023119.0000000005,5.087800591504278e-10,1.0487815165923008e-10,4.959674634301056e-12
2.1000000000000005,1023119.0000000005,5.002552344428777e-10,1.1418548757744401e-10,5.742185844964836e-12
2.2000000000000006,1023119.0000000005,4.920291904909301e-10,1.2325968653034818e-10,6.5903408459213716e-12
2.3000000000000007,1023119.0000000005,4.84092767245505e-10,1.321082703075597e-10,7.502501377707844e-12
2.400000000000001,1023118.7522999991,8.281302084038727e-10,1.3877031071256213e-09,2.306172141890574e-10
2.500000000000001,1023118.7522999991,8.313595334394063e-10,1.3943621748899161e-09,2.4055315149102364e-10
2.600000000000001,1023118.7522999991,8.346190981093529e-10,1.4010385064198508e-09,2.505367149324274e-10
2.700000000000001,1023118.7522999991,8.379085478041638e-10,1.4077325779305692e-09,2.605680295328957e-10
2.800000000000001,1023119.0000000007,7.22150590153445e-10,1.898545122168886e-10,1.3177031480910651e-11
2.9000000000000012,1023119.0000000007,7.106284025577476e-10,2.0277915504767074e-10,1.4579486715995396e-11
3.0000000000000013,1023119.0000000007,6.99514907962665e-10,2.1538628355958872e-10,1.607312063283075e-11
3.1000000000000014,1023119.0000000007,6.88797596161036e-10,2.2768617690429065e-10,1.765570217590367e-11
3.2000000000000015,1023119.0000000007,6.784643477785226e-10,2.3968879567941264e-10,1.9325072568512296e-11
3.3000000000000016,1023119.0000000007,6.685034220998931e-10,2.5140379186257573e-10,2.107914307304589e-11
3.4000000000000017,1023118.7522999992,1.107529643044647e-09,1.5015407117901245e-09,3.3371105448696276e-10
3.5000000000000018,1023118.7522999992,1.106836585459314e-09,1.5129183690580127e-09,3.4447703640140863e-10
3.600000000000002,1023118.7522999992,1.1063181746966722e-09,1.5242029832552039e-09,3.553239525248316e-10
3.700000000000002,1023118.7522999992,1.1059696365349072e-09,1.5353986493111497e-09,3.6625115296286687e-10
3.800000000000002,1023119.0000000009,8.959252258437481e-10,3.2250960816838485e-10,3.1257395348614415e-11
3.900000000000002,1023119.0000000009,8.828561381100973e-10,3.379376573355972e-10,3.361635678217599e-11
4.000000000000002,1023119.0000000009,8.702614393001702e-10,3.5300020536697496e-10,3.6084206003626616e-11
4.100000000000001,1023119.0000000009,8.581266512573534e-10,3.6770916245615535e-10,3.865837504999014e-11
4.200000000000001,1023119.0000000009,8.464377483368725e-10,3.8207607003378206e-10,4.13363797071359e-11
4.300000000000001,1023119.0000000009,8.351811433117817e-10,3.96112112268787e-10,4.411581691705005e-11
4.4,1023118.7522999992,1.352436423833338e-09,1.6577440390658582e-09,4.4650669804493947e-10
4.5,1023118.7522999992,1.3491031964428744e-09,1.6728641907949845e-09,4.584018314072173e-10
4.6,1023118.7522999992,1.3460498278508505e-09,1.6878131004481867e-09,4.704043502145382e-10
4.699999999999999,1023118.7522999992,1.3432683544672898e-09,1.7025974843475277e-09,4.825130554194469e-10
4.799999999999999,1023119.0000000012,1.0590981036605797e-09,4.783462280853875e-10,5.96630572350563e-11
4.899999999999999,1023119.0000000012,1.0450172721092086e-09,4.959067769677643e-10,6.314277456606218e-11
4.999999999999998,1023119.0000000012,1.0314607763344968e-09,5.130669848312426e-10,6.674648665482868e-11
5.099999999999998,1023119.0000000012,1.0184126651597703e-09,5.298399904437392e-10,7.047138109259877e-11
5.1999999999999975,1023119.0000000012,1.0058574861962096e-09,5.462385261745689e-10,7.431473785986761e-11
5.299999999999997,1023119.0000000012,9.93780270308588e-10,5.622749306713719e-10,7.8273926469049e-11
5.399999999999997,1023119.0000000012,9.821665165650915e-10,5.779611611420928e-10,8.23464031962733e-11
5.4999999999999964,1023119.0000000012,9.71002177656137e-10,5.933088052543138e-10,8.652970839954e-11
5.599999999999996,1023119.0000000012,9.602736457675748e-10,6.083290926638705e-10,9.08214639205345e-11
5.699999999999996,1023119.0000000012,9.499677388941168e-10,6.230329061842969e-10,9.521937056750276e-11
5.799999999999995,1023119.0000000012,9.400716875792734e-10,6.374307926082957e-10,9.97212056766582e-11
5.899999999999995,1023119.0000000012,9.3057312206851e-10,6.515329731920754e-10,1.0432482074967454e-10
5.999999999999995,1023119.0000000012,9.21460059862746e-10,6.653493538130589e-10,1.0902813916489399e-10
6.099999999999994,1023119.0000000012,9.127208936597222e-10,6.788895348111431e-10,1.1382915395995444e-10
6.199999999999994,1023119.0000000012,9.043443796711524e-10,6.921628205233691e-10,1.1872592568361063e-10
6.299999999999994,1023119.0000000012,8.963196263039472e-10,7.051782285215573e-10,1.2371658031459354e-10
6.399999999999993,1023119.0000000012,8.886360831941685e-10,7.179444985621623e-10,1.2879930724541981e-10
6.499999999999993,1023119.0000000012,8.812835305827217e-10,7.304701012573169e-10,1.3397235732912768e-10
6.5999999999999925,1023119.0000000012,8.742520690221387e-10,7.427632464757513e-10,1.3923404098697906e-10
6.699999999999992,1023119.0000000012,8.675321094041337e-10,7.548318914820059e-10,1.445827263752286e-10
6.799999999999992,1023119.0000000012,8.611143632979386e-10,7.666837488220921e-10,1.5001683760911972e-10
6.8999999999999915,1023119.0000000012,8.549898335897324e-10,7.783262939635034e-10,1.5553485304232477e-10
6.999999999999991,1023119.0000000012,8.491498054137838e-10,7.897667726972294e-10,1.6113530360010228e-10
7.099999999999991,1023119.0000000012,8.435858373662176e-10,8.010122083091913e-10,1.6681677116449784e-10
7.19999999999999,1023119.0000000012,8.382897529925973e-10,8.120694085282813e-10,1.7257788700996754e-10
7.29999999999999,1023119.0000000012,8.332536325407936e-10,8.229449722579707e-10,1.7841733028785315e-10
7.39999999999999,1023118.7522999989,1.5353887163311046e-09,2.1790109060302656e-09,8.601713595137955e-10
7.499999999999989,1023118.7522999989,1.5358054876276715e-09,2.1941045333243887e-09,8.757896881521089e-10
7.599999999999989,1023118.7522999989,1.5364274876172467e-09,2.209101093074858e-09,8.915154788881264e-10
7.699999999999989,1023118.7522999989,1.5372492795950528e-09,2.2240053116820313e-09,9.073480553470739e-10
7.799999999999988,1023119.0000000014,1.1076928199612214e-09,8.927737288541802e-10,2.089698569566501e-10
7.899999999999988,1023119.0000000014,1.0984974883793057e-09,9.084020068521646e-10,2.154028033727189e-10
7.999999999999988,1023119.0000000014,1.089703206999737e-09,9.2373982182711e-10,2.2194633696809548e-10
8.099999999999987,1023119.0000000014,1.0812979971367122e-09,9.387971134125111e-10,2.285984186904718e-10
8.199999999999987,1023119.0000000014,1.0732702557020337e-09,9.535835155440902e-10,2.3535707938737243e-10
8.299999999999986,1023119.0000000014,1.065608743512122e-09,9.68108366003493e-10,2.4222041765686365e-10
8.399999999999986,1023118.752299999,1.814294777358782e-09,2.376305950586954e-09,1.022818159055846e-09
8.499999999999986,1023118.752299999,1.8119793412223278e-09,2.3955262474533855e-09,1.0398605261913977e-09
8.599999999999985,1023118.752299999,1.8099816019195318e-09,2.414566781876239e-09,1.057039534606387e-09
8.699999999999985,1023118.752299999,1.8082927261067046e-09,2.433435076179166e-09,1.074353927285948e-09
8.799999999999985,1023119.0000000016,1.3390575549111013e-09,1.0557187797987047e-09,2.7827665675171716e-10
8.899999999999984,1023119.0000000016,1.3276099659809627e-09,1.0747754941746644e-09,2.858857821975382e-10
8.999999999999984,1023119.0000000016,1.3166560282819514e-09,1.0934733878021935e-09,2.9362973812605606e-10
9.099999999999984,1023119.0000000016,1.306180979099956e-09,1.1118247043452514e-09,3.0150600548711866e-10
9.199999999999983,1023119.0000000016,1.2961705185272038e-09,1.1298413107637182e-09,3.095121513328331e-10
9.299999999999983,1023119.0000000016,1.2866107950539319e-09,1.1475347090732e-09,3.176458261690428e-10
