day,S,E,I,R
0,1914039,0,0,0
0.1,1914039.0,0.0,0.0,0.0
0.2,1914039.0,0.0,0.0,0.0
0.30000000000000004,1914039.0,0.0,0.0,0.0
0.4,1914039.3775999874,6.418082418022585e-10,1.1530870284338798e-08,3.3370449705554094e-10
0.5,1914039.3775999872,7.921899651855096e-10,1.1463096049474244e-08,4.158237268845431e-10
0.6,1914039.377599987,9.3863534539354e-10,1.1398761709280134e-08,4.974712018631109e-10
0.7,1914039.3775999867,1.081270980442056e-09,1.1337765601436135e-08,5.786711276483109e-10
0.7999999999999999,1914038.9999999981,1.6628713376226766e-09,1.0128875804341934e-10,1.2640239494309387e-12
0.8999999999999999,1914038.9999999981,1.6316056903047248e-09,1.3339306347678164e-10,2.1026820648414745e-12
0.9999999999999999,1914038.9999999981,1.601407222606845e-09,1.6465648632426204e-10,3.1676372144420145e-12
1.0999999999999999,1914038.9999999981,1.5722431017111888e-09,1.951059497590938e-10,4.45297975361753e-12
1.2,1914038.9999999981,1.544081519768752e-09,2.247675412937873e-10,5.952989345874301e-12
1.3,1914038.9999999981,1.5168916619700465e-09,2.5366653883399365e-10,7.66212908737519e-12
1.4000000000000001,1914039.377599984,3.471321470991049e-09,1.1278036402225286e-08,1.14600022952878e-09
1.5000000000000002,1914039.3775999837,3.56209904554967e-09,1.126785372129122e-08,1.2265201416502952e-09
1.6000000000000003,1914039.3775999835,3.650935081849363e-09,1.1259533163708364e-08,1.3069740018090505e-09
1.7000000000000004,1914039.3775999832,3.7378943624325514e-09,1.1253023432009955e-08,1.3873749266915246e-09
1.8000000000000005,1914038.9999999963,2.9815335822858784e-09,4.841233195299834e-10,2.0367337461716803e-11
1.9000000000000006,1914038.9999999963,2.929737759336569e-09,5.395760641676827e-10,2.40242591501069e-11
2.0000000000000004,1914038.9999999963,2.8797418243874595e-09,5.936199527900569e-10,2.8072212823371485e-11
2.1000000000000005,1914038.9999999963,2.831490534097439e-09,6.463003282703134e-10,3.2501298013607597e-11
2.2000000000000006,1914038.9999999963,2.78493037030633e-09,6.976611271291862e-10,3.7301933081371095e-11
2.3000000000000007,1914038.9999999963,2.740009486295622e-09,7.477449233862629e-10,4.246484532774e-11
2.400000000000001,1914039.3775999807,5.7221853343186344e-09,1.1523174054835966e-08,1.9588640919784996e-09
2.500000000000001,1914039.3775999804,5.771859997335627e-09,1.155569209520383e-08,2.041288160805585e-09
2.600000000000001,1914039.3775999802,5.8210109649373655e-09,1.1588963403025491e-08,2.123947201027953e-09
2.700000000000001,1914039.37759998,5.869659261055643e-09,1.1622972390837048e-08,2.2068465371413357e-09
2.800000000000001,1914038.9999999944,4.087438831049684e-09,1.0745939651600097e-09,7.458320626332335e-11
2.9000000000000012,1914038.9999999944,4.0222221876039475e-09,1.147748633976954e-09,8.252123163453151e-11
3.0000000000000013,1914038.9999999944,3.959318784191867e-09,1.2191061424967253e-09,9.097533674222204e-11
3.1000000000000014,1914038.9999999944,3.8986578118884e-09,1.2887246716646147e-09,9.993289360664513e-11
3.2000000000000015,1914038.9999999944,3.840170673918291e-09,1.3566605993808596e-09,1.0938168335278093e-10
3.3000000000000016,1914038.9999999944,3.783790916751708e-09,1.4229685567279794e-09,1.193098835333177e-10
3.4000000000000017,1914039.3775999772,7.588857270449769e-09,1.214319393328114e-08,2.803213289223668e-09
3.5000000000000018,1914039.377599977,7.610338792789158e-09,1.220821726356998e-08,2.8901826356423015e-09
3.600000000000002,1914039.3775999767,7.63231462977598e-09,1.2273210843832186e-08,2.977616322158561e-09
3.700000000000002,1914039.3775999765,7.654774572545858e-09,1.2338184634694366e-08,3.0655141720098134e-09
3.800000000000002,1914038.9999999925,5.071019633154167e-09,1.8254340472865906e-09,1.7691972696660173e-10
3.900000000000002,1914038.9999999925,4.997047385694123e-09,1.912758233473967e-09,1.902716656939342e-10
4.000000000000002,1914038.9999999925,4.9257602234739575e-09,1.998013649378636e-09,2.0423991937843753e-10
4.100000000000001,1914038.9999999925,4.857076198786379e-09,2.08126770779959e-09,2.1880995311181317e-10
